t,x,y,vx,vy,speed,ke,pe,te,lne,,-7.41E-03
0.067,0.421,0.242,-0.447,-0.485,0.659,4.344,1.225,5.569,1.717,,
0.100,0.402,0.218,-0.613,-0.673,0.910,8.284,1.105,9.389,2.240,,
0.133,0.381,0.197,-0.735,-0.680,1.001,10.018,1.005,11.023,2.400,,
0.167,0.353,0.173,-0.940,-0.796,1.232,15.170,0.883,16.052,2.776,,
0.200,0.318,0.144,-1.113,-0.853,1.402,19.658,0.745,20.402,3.016,,
0.233,0.279,0.116,-1.274,-0.828,1.520,23.100,0.604,23.704,3.166,,
0.267,0.233,0.089,-1.455,-0.794,1.658,27.482,0.474,27.955,3.331,,
0.300,0.182,0.063,-1.626,-0.729,1.782,31.743,0.344,32.087,3.468,,
0.333,0.125,0.041,-1.774,-0.594,1.871,35.001,0.235,35.236,3.562,,
0.367,0.064,0.023,-1.904,-0.510,1.971,38.833,0.150,38.983,3.663,,
0.400,-0.002,0.007,-2.081,-0.323,2.106,44.352,0.069,44.421,3.794,,
0.433,-0.075,0.002,-2.052,0.020,2.053,42.128,0.044,42.172,3.742,,
0.467,-0.139,0.008,-1.978,0.149,1.984,39.366,0.075,39.441,3.675,,
0.500,-0.207,0.012,-1.974,0.331,2.002,40.065,0.093,40.159,3.693,,
0.533,-0.271,0.030,-1.979,0.539,2.051,42.070,0.184,42.253,3.744,,
0.567,-0.339,0.048,-1.775,0.595,1.872,35.056,0.269,35.326,3.565,,
0.600,-0.389,0.070,-1.490,0.704,1.648,27.143,0.378,27.521,3.315,,
0.633,-0.438,0.094,-1.363,0.726,1.544,23.839,0.500,24.339,3.192,,
0.667,-0.480,0.118,-1.146,0.690,1.338,17.902,0.615,18.517,2.919,,
0.700,-0.515,0.140,-0.951,0.610,1.130,12.760,0.725,13.485,2.602,,
0.733,-0.543,0.159,-0.793,0.464,0.919,8.439,0.815,9.253,2.225,,
0.767,-0.568,0.171,-0.610,0.273,0.668,4.468,0.877,5.345,1.676,,
0.800,-0.584,0.177,-0.285,0.138,0.317,1.003,0.904,1.907,0.645,,
0.833,-0.587,0.181,0.020,-0.026,0.032,0.010,0.922,0.933,-0.069,,
0.867,-0.583,0.175,0.196,-0.237,0.308,0.950,0.896,1.845,0.613,,
0.900,-0.573,0.165,0.458,-0.304,0.550,3.022,0.845,3.867,1.353,,
0.933,-0.552,0.155,0.796,-0.520,0.951,9.046,0.796,9.842,2.287,,
0.967,-0.520,0.130,1.066,-0.643,1.245,15.505,0.675,16.180,2.784,,
1.000,-0.481,0.112,1.178,-0.625,1.334,17.789,0.586,18.375,2.911,,
1.033,-0.442,0.088,1.344,-0.670,1.502,22.546,0.470,23.016,3.136,,
1.067,-0.391,0.067,1.617,-0.661,1.747,30.524,0.367,30.890,3.430,,
1.100,-0.334,0.044,1.780,-0.610,1.882,35.407,0.254,35.661,3.574,,
1.133,-0.273,0.027,1.915,-0.477,1.973,38.937,0.167,39.105,3.666,,
1.167,-0.206,0.013,2.018,-0.403,2.058,42.340,0.098,42.438,3.748,,
1.200,-0.138,0.000,1.934,-0.300,1.957,38.317,0.035,38.352,3.647,,
1.233,-0.077,-0.007,2.093,-0.021,2.093,43.804,0.000,43.804,3.780,,
