t,x,y,vx,vy,speed,ke,pe,te,lne,,-7.41E-03
0.067,0.437,0.213,-0.479,-0.453,0.659,0.004,0.042,0.046,-3.068,,
0.100,0.416,0.189,-0.658,-0.629,0.910,0.008,0.038,0.046,-3.081,,
0.133,0.393,0.171,-0.780,-0.627,1.001,0.010,0.034,0.044,-3.125,,
0.167,0.364,0.148,-0.993,-0.729,1.232,0.015,0.029,0.045,-3.110,,
0.200,0.327,0.122,-1.169,-0.774,1.402,0.020,0.024,0.044,-3.122,,
0.233,0.286,0.096,-1.329,-0.738,1.520,0.023,0.019,0.042,-3.161,,
0.267,0.239,0.073,-1.507,-0.691,1.658,0.027,0.015,0.042,-3.165,,
0.300,0.186,0.050,-1.672,-0.615,1.782,0.032,0.010,0.042,-3.170,,
0.333,0.127,0.032,-1.811,-0.470,1.871,0.035,0.007,0.042,-3.177,,
0.367,0.065,0.019,-1.934,-0.377,1.971,0.039,0.004,0.043,-3.148,,
0.400,-0.002,0.007,-2.098,-0.178,2.106,0.044,0.002,0.046,-3.077,,
0.433,-0.075,0.007,-2.046,0.162,2.053,0.042,0.002,0.044,-3.125,,
0.467,-0.138,0.018,-1.963,0.286,1.984,0.039,0.004,0.043,-3.141,,
0.500,-0.206,0.026,-1.946,0.467,2.002,0.040,0.006,0.046,-3.088,,
0.533,-0.268,0.049,-1.937,0.675,2.051,0.042,0.010,0.052,-2.955,,
0.567,-0.335,0.071,-1.730,0.716,1.872,0.035,0.014,0.049,-3.008,,
0.600,-0.383,0.096,-1.437,0.805,1.648,0.027,0.019,0.047,-3.068,,
0.633,-0.431,0.125,-1.309,0.819,1.544,0.024,0.025,0.049,-3.022,,
0.667,-0.471,0.151,-1.096,0.768,1.338,0.018,0.030,0.048,-3.037,,
0.700,-0.504,0.176,-0.906,0.674,1.130,0.013,0.035,0.048,-3.043,,
0.733,-0.531,0.196,-0.759,0.518,0.919,0.008,0.039,0.047,-3.051,,
0.767,-0.554,0.210,-0.590,0.314,0.668,0.004,0.042,0.046,-3.075,,
0.800,-0.570,0.217,-0.275,0.158,0.317,0.001,0.043,0.044,-3.124,,
0.833,-0.573,0.221,0.018,-0.027,0.032,0.000,0.044,0.044,-3.129,,
0.867,-0.569,0.215,0.180,-0.250,0.308,0.001,0.043,0.044,-3.133,,
0.900,-0.561,0.204,0.436,-0.335,0.550,0.003,0.040,0.044,-3.135,,
0.933,-0.540,0.193,0.758,-0.574,0.951,0.009,0.038,0.047,-3.051,,
0.967,-0.510,0.166,1.019,-0.715,1.245,0.016,0.033,0.048,-3.026,,
1.000,-0.472,0.145,1.132,-0.705,1.334,0.018,0.029,0.047,-3.064,,
1.033,-0.435,0.119,1.294,-0.761,1.502,0.023,0.024,0.046,-3.072,,
1.067,-0.386,0.094,1.567,-0.772,1.747,0.031,0.019,0.049,-3.006,,
1.100,-0.330,0.067,1.734,-0.732,1.882,0.035,0.014,0.049,-3.014,,
1.133,-0.270,0.046,1.877,-0.608,1.973,0.039,0.009,0.048,-3.030,,
1.167,-0.205,0.027,1.985,-0.542,2.058,0.042,0.006,0.048,-3.035,,
